frame,joint_name,x,y
272,shoulder,486,198
272,hip,755,449
272,knee,755,449
272,handle,324,813
273,head,302,18
273,shoulder,486,198
273,hip,729,444
273,knee,729,444
273,handle,324,813
274,head,302,18
274,shoulder,486,198
274,hip,696,438
274,knee,696,438
274,handle,324,812
275,head,302,18
275,shoulder,486,198
275,hip,663,432
275,knee,663,432
275,handle,323,812
276,head,302,18
276,shoulder,486,198
276,hip,627,416
276,knee,627,416
276,handle,323,811
277,head,302,19
277,shoulder,487,199
277,hip,598,381
277,knee,598,381
277,handle,323,810
278,head,302,19
278,shoulder,487,199
278,hip,572,348
278,knee,572,348
278,handle,324,810
279,head,302,19
279,shoulder,484,195
279,hip,541,317
279,knee,541,317
279,handle,324,810
280,head,302,19
280,shoulder,472,186
280,hip,511,287
280,knee,511,287
280,handle,325,810
281,head,302,19
281,shoulder,455,176
281,hip,476,266
281,knee,476,266
281,handle,326,810
282,head,302,19
282,shoulder,436,163
282,hip,434,265
282,knee,434,265
282,handle,326,811
283,head,302,19
283,shoulder,417,151
283,hip,400,266
283,knee,400,266
283,handle,326,812
284,head,302,18
284,shoulder,402,149
284,hip,372,267
284,knee,372,267
284,handle,326,813
285,head,302,18
285,shoulder,393,153
285,hip,344,269
285,knee,344,269
285,handle,326,814
286,head,302,18
286,shoulder,389,158
286,hip,320,273
286,knee,320,273
286,handle,325,815
287,head,302,17
287,shoulder,387,165
287,hip,301,278
287,knee,301,278
287,handle,325,816
288,head,302,17
288,shoulder,385,169
288,hip,280,281
288,knee,280,281
288,handle,325,814
289,head,302,17
289,shoulder,383,167
289,hip,263,284
289,knee,263,284
289,handle,324,812
290,head,302,17
290,shoulder,384,165
290,hip,250,286
290,knee,250,286
290,handle,324,810
291,head,302,17
291,shoulder,385,163
291,hip,243,288
291,knee,243,288
291,handle,324,808
292,head,302,17
292,shoulder,387,162
292,hip,241,290
292,knee,241,290
292,handle,324,806
293,head,302,17
293,shoulder,387,162
293,hip,245,291
293,knee,245,291
293,handle,324,807
294,head,302,17
294,shoulder,387,162
294,hip,254,291
294,knee,254,291
294,handle,325,809
295,head,302,17
295,shoulder,388,163
295,hip,269,292
295,knee,269,292
295,handle,326,810
296,head,302,17
296,shoulder,388,163
296,hip,288,292
296,knee,288,292
296,handle,327,811
297,head,302,18
297,shoulder,389,164
297,hip,305,295
297,knee,305,295
297,handle,328,813
298,head,302,18
298,shoulder,387,168
298,hip,323,296
298,knee,323,296
298,handle,329,813
299,head,302,18
299,shoulder,386,172
299,hip,337,297
299,knee,337,297
299,handle,330,814
300,head,302,18
300,shoulder,385,177
300,hip,346,299
300,knee,346,299
300,handle,330,815
301,head,302,18
301,shoulder,383,181
301,hip,350,300
301,knee,350,300
301,handle,330,816
302,head,302,19
302,shoulder,382,186
302,hip,354,299
